#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.75e+07  |1423661964|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.88587575|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.61124842|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.51109225|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.88131371|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.56445055|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.74333428|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.88563880|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.97018505|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.43421956|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.55540598|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.17023578|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.28736130|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.33882786|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.05430629|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.53385049|  PASSED  
             dab_dct| 256|     50000|       1|0.15134732|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.74816897|  PASSED  
        dab_filltree|  32|  15000000|       1|0.29452269|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.51195382|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.41102001|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.30646720|  PASSED  
