#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.28e+07  |4108896831|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.41887999|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.48813932|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.94012598|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.27235272|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.31444500|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.57688700|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.91800429|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.91389606|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.98350956|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.99758248|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.54913223|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.04389323|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.57155122|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.70596274|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.07610745|  PASSED  
             dab_dct| 256|     50000|       1|0.39720848|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.58055008|  PASSED  
        dab_filltree|  32|  15000000|       1|0.48808364|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.67986834|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.64714122|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.12467407|  PASSED  
